# ntheta  nphi   nfp  isymm  isort
   101     72      4    2      9
# magnetic axis
# raxis       zaxis
 8.52917020E+00    1.27204235E+00
 8.53195138E+00    1.21854158E+00
 8.53953900E+00    1.16473773E+00
 8.55143115E+00    1.11093215E+00
 8.56708507E+00    1.05738148E+00
 8.58592720E+00    1.00429599E+00
 8.60736345E+00    9.51838726E-01
 8.63078975E+00    9.00125650E-01
 8.65560266E+00    8.49226574E-01
 8.68120979E+00    7.99167021E-01
 8.70703990E+00    7.49930890E-01
 8.73255264E+00    7.01463884E-01
 8.75724755E+00    6.53677649E-01
 8.78067234E+00    6.06454531E-01
 8.80243028E+00    5.59652870E-01
 8.82218659E+00    5.13112732E-01
 8.83967362E+00    4.66661976E-01
 8.85469498E+00    4.20122546E-01
 8.86712827E+00    3.73316868E-01
 8.87692655E+00    3.26074254E-01
 8.88411854E+00    2.78237178E-01
 8.88880741E+00    2.29667320E-01
 8.89116830E+00    1.80251274E-01
 8.89144458E+00    1.29905806E-01
 8.88994292E+00    7.85825697E-02
 8.88702719E+00    2.62721945E-02
 8.88311142E+00   -2.69923358E-02
 8.87865178E+00   -8.11330780E-02
 8.87413785E+00   -1.36025351E-01
 8.87008326E+00   -1.91496823E-01
 8.86701580E+00   -2.47327496E-01
 8.86546732E+00   -3.03250589E-01
 8.86596336E+00   -3.58954322E-01
 8.86901299E+00   -4.14084586E-01
 8.87509863E+00   -4.68248456E-01
 8.88466643E+00   -5.21018507E-01
 8.89811704E+00   -5.71937872E-01
 8.91579717E+00   -6.20525963E-01
 8.93799186E+00   -6.66284781E-01
 8.96491780E+00   -7.08705709E-01
 8.99671765E+00   -7.47276692E-01
 9.03345557E+00   -7.81489694E-01
 9.07511397E+00   -8.10848316E-01
 9.12159155E+00   -8.34875450E-01
 9.17270276E+00   -8.53120863E-01
 9.22817849E+00   -8.65168577E-01
 9.28766826E+00   -8.70643934E-01
 9.35074364E+00   -8.69220237E-01
 9.41690300E+00   -8.60624848E-01
 9.48557751E+00   -8.44644651E-01
 9.55613817E+00   -8.21130794E-01
 9.62790401E+00   -7.90002614E-01
 9.70015107E+00   -7.51250692E-01
 9.77212224E+00   -7.04938976E-01
 9.84303769E+00   -6.51205934E-01
 9.91210574E+00   -5.90264704E-01
 9.97853409E+00   -5.22402236E-01
 1.00415411E+01   -4.47977428E-01
 1.01003671E+01   -3.67418274E-01
 1.01542856E+01   -2.81218055E-01
 1.02026134E+01   -1.89930629E-01
 1.02447216E+01   -9.41648729E-02
 1.02800440E+01    5.42163738E-03
 1.03080866E+01    1.08129635E-01
 1.03284343E+01    2.13225750E-01
 1.03407579E+01    3.19950577E-01
 1.02833908E+01    3.91722474E-01
 1.02893122E+01    4.98872005E-01
 1.02869566E+01    6.06308812E-01
 1.02762323E+01    7.13244173E-01
 1.02571438E+01    8.18895636E-01
 1.02297936E+01    9.22495790E-01
 1.01943803E+01    1.02330082E+00
 1.01511972E+01    1.12059873E+00
 1.01006282E+01    1.21371709E+00
 1.00431432E+01    1.30203027E+00
 9.97929203E+00    1.38496595E+00
 9.90969677E+00    1.46201092E+00
 9.83504391E+00    1.53271604E+00
 9.75607496E+00    1.59670029E+00
 9.67357649E+00    1.65365390E+00
 9.58836951E+00    1.70334046E+00
 9.50129847E+00    1.74559805E+00
 9.41321989E+00    1.78033930E+00
 9.32499088E+00    1.80755056E+00
 9.23745772E+00    1.82728992E+00
 9.15144472E+00    1.83968444E+00
 9.06774331E+00    1.84492638E+00
 8.98710191E+00    1.84326863E+00
 8.91021628E+00    1.83501943E+00
 8.83772088E+00    1.82053639E+00
 8.77018113E+00    1.80021991E+00
 8.70808678E+00    1.77450624E+00
 8.65184644E+00    1.74386012E+00
 8.60178339E+00    1.70876721E+00
 8.55813273E+00    1.66972643E+00
 8.52103985E+00    1.62724231E+00
 8.49056025E+00    1.58181747E+00
 8.46666080E+00    1.53394535E+00
 8.44922227E+00    1.48410331E+00
 8.43804315E+00    1.43274620E+00
 8.43284474E+00    1.38030048E+00
 8.43327733E+00    1.32715904E+00
 8.43892742E+00    1.27367667E+00
 8.44932581E+00    1.22016643E+00
 8.46395658E+00    1.16689674E+00
 8.48226653E+00    1.11408950E+00
 8.50367523E+00    1.06191892E+00
 8.52758530E+00    1.01051150E+00
 8.55339289E+00    9.59946669E-01
 8.58049804E+00    9.10258492E-01
 8.60831495E+00    8.61438112E-01
 8.63628184E+00    8.13437029E-01
 8.66387027E+00    7.66171089E-01
 8.69059384E+00    7.19525137E-01
 8.71601606E+00    6.73358222E-01
 8.73975729E+00    6.27509285E-01
 8.76150063E+00    5.81803207E-01
 8.78099673E+00    5.36057113E-01
 8.79806729E+00    4.90086825E-01
 8.81260745E+00    4.43713339E-01
 8.82458669E+00    3.96769217E-01
 8.83404863E+00    3.49104775E-01
 8.84110933E+00    3.00593953E-01
 8.84595450E+00    2.51139771E-01
 8.84883533E+00    2.00679258E-01
 8.85006327E+00    1.49187773E-01
 8.85000372E+00    9.66826303E-02
 8.84906869E+00    4.32259635E-02
 8.84770877E+00   -1.10732316E-02
 8.84640422E+00   -6.60579193E-02
 8.84565564E+00   -1.21522740E-01
 8.84597416E+00   -1.77214639E-01
 8.84787140E+00   -2.32834402E-01
 8.85184938E+00   -2.88039087E-01
 8.85839050E+00   -3.42445331E-01
 8.86794776E+00   -3.95633464E-01
 8.88093546E+00   -4.47152404E-01
 8.89772040E+00   -4.96525239E-01
 8.91861387E+00   -5.43255422E-01
 8.94386443E+00   -5.86833492E-01
 8.97365174E+00   -6.26744207E-01
 9.00808144E+00   -6.62473992E-01
